bootstrap_iteration,ari,n_clusters,n_models
977,0.8091223954992761,5,32
978,0.9013363713629541,5,32
979,0.47700013180440226,5,32
980,0.8091223954992761,5,32
981,0.9144517066085693,5,32
982,0.9013363713629541,5,32
983,0.6480101592993072,5,32
984,0.8091223954992761,5,32
985,0.4632340377057584,5,32
986,0.9013363713629541,5,32
987,0.8091223954992761,5,32
988,0.8091223954992761,5,32
989,0.9013363713629541,5,32
990,0.9013363713629541,5,32
991,0.9013363713629541,5,32
992,0.8091223954992761,5,32
993,0.4411792319969956,5,32
994,1.0,5,32
995,1.0,5,32
996,0.5236965486075806,5,32
997,0.6480101592993072,5,32
998,0.9013363713629541,5,32
999,1.0,5,32
1000,0.7243678799666574,5,32
