developer,model,n_assessments,Interest_mean_entropy,Interest_std_entropy,Surprise_mean_entropy,Surprise_std_entropy,Sadness_mean_entropy,Sadness_std_entropy,Anger_mean_entropy,Anger_std_entropy,overall_mean_entropy,overall_std_entropy,overall_var_entropy
Google,gemini-2.5-pro-preview-03-25,99,0.5126080068730066,0.3061982787830448,0.33977792075946517,0.38194627577894047,0.53044059095914,0.2640036765545086,0.5317131660008689,0.3803750849648274,0.4786349211481201,0.09298129670677893,0.02712645051163897
xAI,grok-3-fast-latest,120,0.39520240956364305,0.2869299846438947,0.4777690243132759,0.3954098054580291,0.5219042074064151,0.23210220767504625,0.5212339324103883,0.3851233913953471,0.4790273934234306,0.059576350236482445,0.020307265891911546
xAI,grok-3-mini-latest,120,0.5005554205291202,0.26429257631222675,0.5314191999900234,0.40094842537680325,0.4989096187306648,0.23688253121813602,0.4007514734972096,0.35867485668575694,0.48290892818675446,0.05677591807965417,0.015399759582741026
Alibaba,Qwen3-235B-A22B-FP8,80,0.4028283561259989,0.13793543666035524,0.4167803178656186,0.3647931068759215,0.6699504755504011,0.3272639202566786,0.4487206295369228,0.3906676682067463,0.48456994476973536,0.12507096042511773,0.015715445761651507
Google,gemini-2.0-pro-exp,23,0.6515922305770266,0.32364931042784395,0.24604443155273692,0.30954891341031016,0.5461404913159161,0.2791528902685467,0.5443481961127611,0.37494071710716886,0.49703133738961014,0.1746750227548706,0.02634103729203023
Alibaba,Qwen2.5-VL-7B-Instruct,109,0.360201220980831,2.2307022056713824e-16,0.8661312240470291,0.2435667639924877,0.5562323780882455,0.2879723491068884,0.27089066928687877,0.4257983762733323,0.5133638731007462,0.26365037782746087,0.01669834281660963
OpenAI,gpt-4o,120,0.42351335920319566,0.2697063737870797,0.6040973554303124,0.353256610208309,0.5551427672266179,0.3425562089191243,0.4793541380783142,0.39998614448094333,0.5155269049846101,0.07997729449924734,0.016134130175822336
DeepSeek,DeepSeek-R1,120,0.5454694330406057,0.368466929440739,0.4828933235884245,0.2516623715439125,0.6010949679699173,0.3261496304181109,0.46898768208892583,0.3564869617069673,0.5246113516719684,0.060880181793025304,0.022634900522776346
Meta,Llama-3.3-70B-Instruct-Turbo,120,0.6375598488577222,0.27746827861048656,0.5490748588583263,0.4252520813390376,0.8150460358781435,0.28465835781476967,0.23433242912823468,0.28095510715605626,0.5590032931806066,0.243062928957732,0.007336296711622278
OpenAI,o3,120,0.5627646530146905,0.3293231112118036,0.4824694671849243,0.3707818358263738,0.667017524807454,0.2874920774444333,0.5485426042063296,0.33736903138500823,0.5651985623033496,0.07636436594616801,0.01827036398730767
OpenAI,gpt-4.1,120,0.3629937845228593,0.29243903994387405,0.6114045910486018,0.3746656191054569,0.8136467610472937,0.2806169993846406,0.5109873705625078,0.3071742289652804,0.5747581267953157,0.1891397974388547,0.00990177170950428
Google,gemma-3-4b-it,120,0.5317742416025577,0.1531086619795726,0.8168689801441129,0.33464671312966787,0.5183662724260469,0.4672413964764801,0.5291400670404137,0.3310379825835768,0.5990373903032828,0.14533684754688145,0.018306353188797104
Anthropic,claude-3-7-sonnet-20250219,120,0.5488466738744833,0.30788684359295154,0.7391721359297482,0.318907853102588,0.7823394348755549,0.31545420387724354,0.5756056803255286,0.2860138085731296,0.6614909812513288,0.1164813796779894,0.008765200732751043
