developer,model,s_M,var_over_personas,var_models_global,ratio_varP_to_varM,eta2_M_persona,p_value_M_persona,f_statistic_M_persona,fixed_individuality_flag,persona_chameleon_flag
Google,gemini-2.0-flash,50.220588235294116,2.7806031730303418,27.707902805270503,0.10035415500668729,0.021550104750941913,0.4723724396504271,0.844281708033535,False,False
OpenAI,o3,49.36875,2.6679803240740796,27.707902805270503,0.09628950782830757,0.010326168892497717,0.7507914619817809,0.40344456725009586,False,False
Anthropic,claude-3-5-haiku-20241022,48.677083333333336,2.628906250000009,27.707902805270503,0.09487929376957202,0.02170472448939373,0.4651869898948724,0.857869160704257,False,False
Google,gemma-3-27b-it,43.75,2.447916666666664,27.707902805270503,0.08834723738820931,0.027293844367015107,0.35838253827013006,1.0849751243781096,False,False
OpenAI,gpt-4.1-mini,45.947916666666664,2.207609953703709,27.707902805270503,0.07967437915524177,0.01832254841804567,0.5410004173615461,0.7216951668012167,False,False
OpenAI,gpt-4o,47.427083333333336,1.9205729166666725,27.707902805270503,0.06931498678064324,0.020933500065441868,0.48172555938057837,0.8267351290756934,False,False
Anthropic,claude-3-haiku-20240307,58.0,1.3472222222222194,27.707902805270503,0.04862230937109955,0.015630035449564924,0.6072962863131002,0.6139575489714628,False,False
xAI,grok-3-mini-fast-latest,44.5,1.3229166666666636,27.707902805270503,0.04774510275873434,0.0068409523467518945,0.8495399298421347,0.2663388353551606,True,False
OpenAI,o4-mini,45.15756302521008,1.322420646716873,27.707902805270503,0.04772720100870741,0.009301168981413747,0.7820753363289417,0.35989222939489307,True,False
Anthropic,claude-3-7-sonnet-20250219,51.28125,0.36964699074073687,27.707902805270503,0.013340850563053942,0.004119167267210601,0.9230745096324457,0.15993325951300164,True,False
Meta,Llama-3.3-70B-Instruct-Turbo,46.5,0.20833333333333362,27.707902805270503,0.007518913820273152,0.003461005999077078,0.9394357012413328,0.13429034498726555,True,False
